     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_gain    Energ_cons 
  3.298355830E+008   3.521828283E-006   8.811887609E+001   7.094428049E-012  -4.379174808E-013   2.064302683E-005   7.535373528E-009   4.229516004E-010   6.356544377E-007   2.128663959E-005   8.496592763E-009   3.003304522E+001   5.481517215E-002   2.648305768E-002   2.461368605E-003   1.849596828E+000   3.196640164E+001  -4.020325822E-010   1.679985397E-008 
  3.438155470E+008   3.674268474E-006   1.011542965E+002   7.094428049E-012  -4.828934051E-013   2.059143174E-005   8.671755058E-009   4.250738003E-010   6.861110285E-007   2.128663959E-005   8.496759729E-009   2.988310390E+001   6.292397748E-002   2.648305892E-002   2.467535954E-003   1.991423172E+000   3.196640164E+001  -5.368156061E-010   1.680020406E-008 
  3.577955110E+008   3.827098184E-006   1.157309552E+002   7.094428049E-012  -5.119284954E-013   2.053793773E-005   9.947224452E-009   4.272910154E-010   7.383273440E-007   2.128663959E-005   8.497436030E-009   2.972804033E+001   7.199152456E-002   2.648306163E-002   2.473963005E-003   2.137412757E+000   3.196640164E+001  -7.109852095E-010   1.680138398E-008 
  3.799529539E+008   4.070165238E-006   1.422636660E+002   7.094428049E-012  -5.679491404E-013   2.044929720E-005   1.228074806E-008   4.310033572E-010   8.246306404E-007   2.128663959E-005   8.498916125E-009   2.947198514E+001   8.849644584E-002   2.648307226E-002   2.484686767E-003   2.376952297E+000   3.196640164E+001  -1.090747795E-009   1.680385263E-008 
  3.947731174E+008   4.233341314E-006   1.625522718E+002   7.094428049E-012  -5.925435699E-013   2.038739538E-005   1.407474421E-008   4.336246234E-010   8.847358415E-007   2.128663959E-005   8.499064150E-009   2.929382662E+001   1.011171630E-001   2.648308762E-002   2.492230969E-003   2.542482535E+000   3.196640164E+001  -1.430473309E-009   1.680415413E-008 
  4.095932809E+008   4.397021958E-006   1.850413068E+002   7.094428049E-012  -6.243113747E-013   2.032341930E-005   1.607241443E-008   4.363589337E-010   9.467115152E-007   2.128663959E-005   8.501500043E-009   2.911026579E+001   1.151066779E-001   2.648311460E-002   2.500076261E-003   2.712045982E+000   3.196640164E+001  -1.856652099E-009   1.680809904E-008 
  4.340077313E+008   4.667823967E-006   2.272680136E+002   7.094428049E-012  -6.643911857E-013   2.021355310E-005   1.984745698E-008   4.411152854E-010   1.052797916E-006   2.128663959E-005   8.503537381E-009   2.879638262E+001   1.413741964E-001   2.648320254E-002   2.513664861E-003   2.999647955E+000   3.196640164E+001  -2.797799117E-009   1.681132093E-008 
  4.584221816E+008   4.940139188E-006   2.765106544E+002   7.094428049E-012  -7.386299266E-013   2.009819604E-005   2.428644816E-008   4.461935323E-010   1.163710916E-006   2.128663959E-005   8.503910469E-009   2.846864336E+001   1.720060422E-001   2.648338519E-002   2.528092475E-003   3.296740760E+000   3.196640164E+001  -4.111338805E-009   1.681188578E-008 
  4.755980895E+008   5.132670071E-006   3.157199869E+002   7.094428049E-012  -7.595807369E-013   2.001379980E-005   2.784721308E-008   4.499645756E-010   1.244542618E-006   2.128663959E-005   8.504125663E-009   2.823005460E+001   1.963965748E-001   2.648360739E-002   2.538753194E-003   3.510928100E+000   3.196640164E+001  -5.313121331E-009   1.681229636E-008 
  4.927739974E+008   5.326027392E-006   3.589724526E+002   7.094428049E-012  -8.003437265E-013   1.992676443E-005   3.180047071E-008   4.539038362E-010   1.327620787E-006   2.128663959E-005   8.504302179E-009   2.798505658E+001   2.233021761E-001   2.648394555E-002   2.549841864E-003   3.729009089E+000   3.196640163E+001  -6.796662217E-009   1.681266205E-008 
