     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  2.258602453E+008   2.398718360E-006   2.937092573E+001   2.397119806E-027   8.282740308E-020   7.179231503E-025   4.660463684E-028   7.739339077E-019   1.629906974E-071   7.739339077E-019   6.164578540E-021   3.222873448E-021   2.700461239E-060   9.387451988E-021   1.116391210E-026   4.562668149E-038   4.228063533E-025   6.484821339E-033   4.677185608E-021   0.000000000E+000   1.603857684E-033   2.685042486E-029 
  2.385894803E+008   2.535321423E-006   3.365982274E+001   2.594624918E-027   9.731623815E-020   1.389181493E-024   6.373595757E-028   1.033655791E-018   2.108891494E-065   1.033655791E-018   8.343895122E-021   4.385883045E-021   1.110283579E-055   1.272977817E-020   1.598091865E-026   2.747417806E-037   4.767034681E-025   1.033148251E-032   1.302012423E-020   8.141810555E-300   2.111012367E-033   2.978035532E-028 
  2.513187152E+008   2.672149892E-006   3.861901274E+001   2.804822211E-027   1.141895292E-019   2.527768019E-024   8.547049801E-028   1.377252521E-018   5.494398813E-060   1.377252521E-018   1.116188637E-020   5.892722729E-021   1.361563841E-051   1.705460910E-020   2.162619667E-026   1.332786600E-036   5.279536095E-025   1.560283238E-032   3.218143169E-020   2.011368399E-264   2.698188596E-033   2.472306132E-027 
  2.589285083E+008   2.754060760E-006   4.193051840E+001   2.938641536E-027   1.255183034E-019   3.515227062E-024   1.009211951E-027   1.630578365E-018   4.604240128E-057   1.630578365E-018   1.320080390E-020   6.980951972E-021   2.192338386E-049   2.018175588E-020   2.527533866E-026   3.107979647E-036   5.568153477E-025   1.955719221E-032   5.238286086E-020   1.880232266E-245   3.085076208E-033   7.690248009E-027 
  2.724521430E+008   2.899844937E-006   4.850817041E+001   3.207095306E-027   1.481479117E-019   6.018039266E-024   1.333915327E-027   2.184513512E-018   2.101094149E-052   2.184513512E-018   1.757695652E-020   9.300717402E-021   7.218445497E-046   2.687767392E-020   3.200144406E-026   1.186058175E-035   6.042823470E-025   2.841923998E-032   1.135849565E-019   1.867678354E-215   3.832483968E-033   4.629910370E-026 
  2.884694090E+008   3.072886163E-006   5.754385625E+001   3.688320166E-027   1.794749050E-019   1.057872203E-023   1.809846846E-027   3.041101938E-018   1.108512978E-047   3.041101938E-018   2.421271219E-020   1.275633349E-020   2.652393537E-042   3.696904568E-020   3.992131434E-026   4.533311923E-035   6.538516381E-025   4.286067147E-032   2.476761185E-019   1.963243411E-185   4.800629386E-033   2.796156780E-025 
  3.091524960E+008   3.296974071E-006   7.143117045E+001   5.623203332E-027   2.280869004E-019   1.982750735E-023   2.588781854E-027   4.553603228E-018   1.154504905E-042   4.553603228E-018   3.580234572E-020   1.859229176E-020   1.629184583E-038   5.439463747E-020   4.937240633E-026   1.836151245E-034   7.076110898E-025   6.996032653E-032   5.617208988E-019   4.163394071E-154   6.136136076E-033   1.833261321E-024 
  3.298355830E+008   3.521828283E-006   8.811887609E+001   1.519427355E-026   2.871423398E-019   3.385909902E-023   3.575963285E-027   6.669734653E-018   1.242845450E-038   6.669734653E-018   5.219198470E-020   2.645183758E-020   1.804365149E-035   7.864382228E-020   5.750873018E-026   5.486141707E-034   7.512660527E-025   1.079916045E-031   1.070925135E-018   1.558138969E-129   7.491903575E-033   8.072472527E-024 
  3.438155470E+008   3.674268474E-006   1.011542965E+002   3.801575344E-026   3.337043644E-019   4.655634663E-023   4.374094868E-027   8.508152563E-018   2.357172794E-036   8.508152563E-018   6.677083893E-020   3.314663003E-020   9.468847197E-034   9.991746896E-020   6.221647941E-026   9.998527128E-034   7.759989202E-025   1.392879885E-031   1.528875337E-018   5.523289135E-116   8.376813582E-033   1.839594351E-023 
  3.577955110E+008   3.827098184E-006   1.157309552E+002   9.897154991E-026   3.861804974E-019   6.217206522E-023   5.287430860E-027   1.069289311E-017   2.299015236E-034   1.069289311E-017   8.452980590E-020   4.102939280E-020   3.004422103E-032   1.255591987E-019   6.632868090E-026   1.659800536E-033   7.975322953E-025   1.737976822E-031   2.068788626E-018   1.882249064E-104   9.209758071E-033   3.733307353E-023 
  3.799529539E+008   4.070165238E-006   1.422636660E+002   4.147943306E-025   4.827153158E-019   9.353669259E-023   6.992672970E-027   1.495857791E-017   1.017856513E-031   1.495857791E-017   1.203040370E-019   5.626132039E-020   2.989294467E-030   1.765653574E-019   7.178245274E-026   3.165325758E-033   8.263108515E-025   2.315842824E-031   3.053302515E-018   1.557935734E-089   1.038310055E-032   9.476222623E-023 
  3.947731174E+008   4.233341314E-006   1.625522718E+002   9.866288584E-025   5.573506551E-019   1.194639620E-022   8.325642883E-027   1.844895632E-017   3.094475969E-030   1.844895632E-017   1.503515735E-019   6.859066429E-020   3.941589463E-029   2.189422379E-019   7.481852933E-026   4.462574349E-033   8.426073658E-025   2.701236762E-031   3.767884070E-018   2.036210677E-081   1.105061940E-032   1.592295034E-022 
  4.095932809E+008   4.397021958E-006   1.850413068E+002   2.174939647E-024   6.408518421E-019   1.496950662E-022   9.826821460E-027   2.254007538E-017   6.066015787E-029   2.254007538E-017   1.861201421E-019   8.289731214E-020   3.736198822E-028   2.690174546E-019   7.745286304E-026   5.941239474E-033   8.570151845E-025   3.072171061E-031   4.502051074E-018   1.665648157E-074   1.161896861E-032   2.502461414E-022 
  4.340077313E+008   4.667823967E-006   2.272680136E+002   6.882546696E-024   7.996793716E-019   2.096595991E-022   1.270095388E-026   3.085934618E-017   3.692139595E-027   3.085934619E-017   2.596213658E-019   1.115030321E-019   8.370304548E-027   3.711244063E-019   8.108780054E-026   8.616360440E-033   8.774899734E-025   3.634333567E-031   5.707202421E-018   3.144087658E-065   1.234451524E-032   4.682335703E-022 
  4.584221816E+008   4.940139188E-006   2.765106544E+002   1.860052719E-023   9.880118729E-019   2.834632863E-022   1.612856644E-026   4.167032573E-017   1.025147901E-025   4.167032583E-017   3.546914719E-019   1.474895430E-019   1.040404055E-025   5.021811189E-019   8.404819250E-026   1.137000470E-032   8.948876047E-025   4.125982809E-031   6.859145894E-018   5.339505717E-058   1.283216420E-032   7.787981490E-022 
  4.755980895E+008   5.132670071E-006   3.157199869E+002   3.465279240E-023   1.140204379E-018   3.444683068E-022   1.890796954E-026   5.120271545E-017   7.353430729E-025   5.120271618E-017   4.368779850E-019   1.779604130E-019   4.647175943E-025   6.148388627E-019   8.582528906E-026   1.324928838E-032   9.057527648E-025   4.430067309E-031   7.620325885E-018   7.355213258E-054   1.305322507E-032   1.052130264E-021 
