     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  2.104858292E+010   3.335020696E-004   9.999998336E+000   2.351840597E-027   1.957968124E-024   5.317580058E-031   1.146251343E-030   1.970544606E-022   4.097080806E-166   1.970544606E-022   3.184329606E-026   7.771828918E-027   1.054753131E-132   3.961512498E-026   1.697916435E-029   1.086586405E-051   1.219420572E-025   2.265294119E-038   1.737787142E-031   0.000000000E+000   2.981878909E-035   9.003243971E-049 
  2.855315715E+010   4.524075108E-004   9.999997743E+000   3.182157142E-027   1.957967949E-024   5.317575955E-031   1.146253535E-030   1.970544403E-022   4.097004758E-166   1.970544403E-022   3.184328893E-026   7.771826859E-027   1.054738353E-132   3.961511579E-026   1.701137235E-029   1.096793774E-051   1.219420395E-025   2.265292638E-038   1.737784756E-031   0.000000000E+000   2.981863030E-035   9.116282465E-049 
  4.862827674E+010   7.704856425E-004   9.999996156E+000   5.387401450E-027   1.957967481E-024   5.317564980E-031   1.146259398E-030   1.970543862E-022   4.096801334E-166   1.970543862E-022   3.184327252E-026   7.771821520E-027   1.054698822E-132   3.961509404E-026   1.709680875E-029   1.124239336E-051   1.219419921E-025   2.265288676E-038   1.737778375E-031   0.000000000E+000   2.981842856E-035   9.421963942E-049 
  7.007754242E+010   1.110336288E-003   9.999994460E+000   7.720837698E-027   1.957966980E-024   5.317553253E-031   1.146265663E-030   1.970543284E-022   4.096584000E-166   1.970543284E-022   3.184325258E-026   7.771815662E-027   1.054656587E-132   3.961506824E-026   1.718693945E-029   1.153780761E-051   1.219419414E-025   2.265284444E-038   1.737771558E-031   0.000000000E+000   2.981856567E-035   9.753791581E-049 
  9.152680809E+010   1.450186934E-003   9.999992765E+000   1.003165212E-026   1.957966480E-024   5.317541526E-031   1.146271928E-030   1.970542706E-022   4.096366678E-166   1.970542706E-022   3.184323237E-026   7.771809789E-027   1.054614354E-132   3.961504216E-026   1.727588771E-029   1.183535246E-051   1.219418908E-025   2.265280211E-038   1.737764741E-031   0.000000000E+000   2.981905922E-035   1.009090101E-048 
  1.353606759E+011   2.144708065E-003   9.999989300E+000   1.468295023E-026   1.957965458E-024   5.317517561E-031   1.146284731E-030   1.970541524E-022   4.095922597E-166   1.970541524E-022   3.184319553E-026   7.771798068E-027   1.054528052E-132   3.961499360E-026   1.745402750E-029   1.244955810E-051   1.219417872E-025   2.265271561E-038   1.737750809E-031   0.000000000E+000   2.982114340E-035   1.079574068E-048 
  2.033260522E+011   3.221578358E-003   9.999983927E+000   2.169908831E-026   1.957963872E-024   5.317480404E-031   1.146304582E-030   1.970539692E-022   4.095234145E-166   1.970539692E-022   3.184313631E-026   7.771779766E-027   1.054394255E-132   3.961491608E-026   1.772075889E-029   1.341623391E-051   1.219416267E-025   2.265258149E-038   1.737729208E-031   0.000000000E+000   2.982710202E-035   1.192871168E-048 
  2.712914285E+011   4.298448651E-003   9.999978555E+000   2.847232035E-026   1.957962287E-024   5.317443247E-031   1.146324433E-030   1.970537859E-022   4.094545820E-166   1.970537859E-022   3.184307233E-026   7.771761171E-027   1.054260478E-132   3.961483350E-026   1.797626116E-029   1.439714828E-051   1.219414661E-025   2.265244737E-038   1.737707607E-031   0.000000000E+000   2.983617572E-035   1.310667720E-048 
  3.392568048E+011   5.375318944E-003   9.999973182E+000   3.500556350E-026   1.957960702E-024   5.317406091E-031   1.146344284E-030   1.970536027E-022   4.093857621E-166   1.970536027E-022   3.184300838E-026   7.771742587E-027   1.054126719E-132   3.961475097E-026   1.822087724E-029   1.538876126E-051   1.219413056E-025   2.265231326E-038   1.737686008E-031   0.000000000E+000   2.984815125E-035   1.432514760E-048 
  4.072221811E+011   6.452189237E-003   9.999967810E+000   4.130751423E-026   1.957959117E-024   5.317368936E-031   1.146364134E-030   1.970534195E-022   4.093169546E-166   1.970534195E-022   3.184294447E-026   7.771724011E-027   1.053992979E-132   3.961466848E-026   1.845495642E-029   1.638765259E-051   1.219411451E-025   2.265217915E-038   1.737664409E-031   0.000000000E+000   2.986282977E-035   1.557946099E-048 
