    V   J   Energy(K)   log(N/g)
    2    11   2.085383E+004   2.988011E+001 
    3     7   2.085653E+004   2.989524E+001 
    0    17   2.141168E+004   2.958656E+001 
    3     8   2.191171E+004   2.972209E+001 
    4     0   2.194278E+004   2.972263E+001 
    4     1   2.208004E+004   2.971373E+001 
    4     2   2.235326E+004   2.965438E+001 
    2    12   2.235535E+004   2.965656E+001 
    1    15   2.251712E+004   2.957455E+001 
    4     3   2.275983E+004   2.959723E+001 
    3     9   2.306999E+004   2.952197E+001 
    4     4   2.329564E+004   2.949721E+001 
    0    18   2.345990E+004   2.932112E+001 
    2    13   2.393080E+004   2.939675E+001 
    4     5   2.395581E+004   2.941472E+001 
    3    10   2.432262E+004   2.931075E+001 
    1    16   2.436840E+004   2.928743E+001 
    4     6   2.473404E+004   2.924825E+001 
    0    19   2.553963E+004   2.882571E+001 
    2    14   2.557053E+004   2.914337E+001 
    4     7   2.562381E+004   2.910321E+001 
    3    11   2.565988E+004   2.910216E+001 
    1    17   2.626369E+004   2.890356E+001 
    5     0   2.660677E+004   2.898010E+001 
    4     8   2.661704E+004   2.892456E+001 
    5     1   2.673596E+004   2.898187E+001 
    5     2   2.699289E+004   2.889817E+001 
    3    12   2.707418E+004   2.888333E+001 
    2    15   2.726625E+004   2.883399E+001 
    5     3   2.737523E+004   2.884194E+001 
    0    20   2.764451E+004   2.861154E+001 
    4     9   2.770677E+004   2.875057E+001 
    5     4   2.787879E+004   2.872511E+001 
    1    18   2.819486E+004   2.862908E+001 
    5     5   2.849899E+004   2.863470E+001 
    3    13   2.855661E+004   2.862482E+001 
    4    10   2.888376E+004   2.850462E+001 
    2    16   2.900940E+004   2.854872E+001 
    5     6   2.922954E+004   2.842540E+001 
    0    21   2.976661E+004   2.808852E+001 
    5     7   3.006431E+004   2.826182E+001 
    3    14   3.009785E+004   2.837098E+001 
    4    11   3.013990E+004   2.828255E+001 
    1    19   3.015462E+004   2.821707E+001 
    2    17   3.079235E+004   2.818673E+001 
    6     0   3.094320E+004   2.811349E+001 
    5     8   3.099552E+004   2.808609E+001 
    6     1   3.106412E+004   2.810542E+001 
    6     2   3.130464E+004   2.801036E+001 
    4    12   3.146651E+004   2.807569E+001 
    6     3   3.166233E+004   2.791603E+001 
    3    15   3.169026E+004   2.804646E+001 
    0    22   3.190031E+004   2.790746E+001 
    5     9   3.201575E+004   2.787549E+001 
    6     4   3.213322E+004   2.785952E+001 
    1    20   3.213454E+004   2.797514E+001 
    2    18   3.260639E+004   2.793500E+001 
    6     5   3.271272E+004   2.771483E+001 
    4    13   3.285516E+004   2.778802E+001 
    5    10   3.311646E+004   2.772934E+001 
    3    16   3.332489E+004   2.783939E+001 
    6     6   3.339496E+004   2.757493E+001 
    0    23   3.403759E+004   2.742645E+001 
    1    21   3.412953E+004   2.766003E+001 
    6     7   3.417363E+004   2.746627E+001 
    5    11   3.428978E+004   2.755415E+001 
    4    14   3.429681E+004   2.766127E+001 
    2    19   3.444505E+004   2.763267E+001 
    7     0   3.494622E+004   2.732695E+001 
    3    17   3.499413E+004   2.757577E+001 
    6     8   3.504117E+004   2.735536E+001 
    7     1   3.505878E+004   2.729998E+001 
    7     2   3.528236E+004   2.725421E+001 
    5    12   3.552731E+004   2.741036E+001 
    7     3   3.561473E+004   2.720731E+001 
    4    15   3.578419E+004   2.743246E+001 
    6     9   3.599047E+004   2.722998E+001 
    7     4   3.605189E+004   2.713563E+001 
    1    22   3.613139E+004   2.721535E+001 
    0    24   3.617459E+004   2.713581E+001 
    2    20   3.629979E+004   2.725188E+001 
    7     5   3.658964E+004   2.705218E+001 
    3    18   3.668984E+004   2.724532E+001 
    5    13   3.682003E+004   2.719986E+001 
    6    10   3.701302E+004   2.709662E+001 
    7     6   3.722192E+004   2.696717E+001 
    4    16   3.730808E+004   2.717507E+001 
    7     7   3.794263E+004   2.686494E+001 
    6    11   3.810113E+004   2.695399E+001 
    1    23   3.813447E+004   2.691354E+001 
    5    14   3.815979E+004   2.703761E+001 
    2    21   3.816475E+004   2.695957E+001 
    0    25   3.830484E+004   2.684718E+001 
    3    19   3.840503E+004   2.696979E+001 
    8     0   3.860553E+004   2.673514E+001 
    8     1   3.870915E+004   2.671345E+001 
    7     8   3.874438E+004   2.676884E+001 
    4    17   3.886111E+004   2.693784E+001 
    8     2   3.891514E+004   2.668366E+001 
    8     3   3.922109E+004   2.663479E+001 
