     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  9.442395486E+007   9.986177015E-007   1.093401756E+001   1.610558022E-022   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   4.941745862E-044   8.261027573E-019   1.462661884E-019   5.029455848E-031   1.696790209E-031   2.317906306E-031   1.530595572E-039   2.887492635E-024   6.379412165E-029   1.860324978E-038   5.956246501E-039   0.000000000E+000   0.000000000E+000   2.657852759E-028   3.107392285E-033   1.063389832E-045   2.001137912E-042   5.892303506E-042   0.000000000E+000   0.000000000E+000   6.337665262E-038 
  1.203588948E+008   1.273664702E-006   1.209699083E+001   2.837890236E-022   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   1.466916574E-042   1.102909972E-018   2.216516980E-019   5.577189195E-031   1.881579302E-031   4.541367783E-031   1.821587942E-038   1.422918483E-023   8.204809519E-028   6.394571383E-038   2.047365050E-038   0.000000000E+000   0.000000000E+000   4.176016839E-028   1.011832952E-032   1.087338919E-045   2.046206450E-042   6.025006757E-042   0.000000000E+000   0.000000000E+000   8.881464096E-036 
  1.711576561E+008   1.813982532E-006   1.713947413E+001   1.980931525E-021   1.965399471E-062   1.056880868E-062   2.324481277E-062   3.233855347E-062   3.062563182E-034   6.325683779E-038   1.816479194E-018   6.534636144E-019   6.650034385E-031   2.243525657E-031   5.520055031E-030   7.950112852E-035   5.750966777E-021   4.429242783E-024   8.556261084E-036   2.739478356E-036   0.000000000E+000   0.000000000E+000   1.534463341E-027   1.009780676E-030   1.025445605E-044   1.929732647E-041   5.682052384E-041   0.000000000E+000   0.000000000E+000   2.048420719E-029 
  2.219564173E+008   2.356933576E-006   2.817983664E+001   1.552249016E-020   3.920910143E-062   2.108444099E-062   4.637267052E-062   6.451439728E-062   6.109579296E-034   8.104915926E-034   2.752367693E-018   1.994418478E-018   1.704994664E-030   5.752149615E-031   7.097636936E-029   1.302051059E-031   1.288621202E-018   9.077879861E-021   2.309084570E-032   7.393050703E-033   0.000000000E+000   0.000000000E+000   6.338820832E-027   6.338072977E-029   3.828951166E-044   7.205503671E-041   2.121643606E-040   0.000000000E+000   0.000000000E+000   1.124917144E-023 
  2.353983855E+008   2.501121296E-006   3.252361642E+001   2.351042146E-020   3.920910143E-062   2.108444099E-062   4.637267052E-062   6.451439728E-062   6.109579296E-034   2.550450973E-033   3.026776341E-018   2.581908486E-018   1.980188952E-030   6.680574056E-031   1.143257337E-028   3.249274214E-031   2.687001782E-018   2.329280146E-020   2.919647569E-032   9.347904704E-033   6.545920733E-305   2.408280076E-305   8.733579664E-027   1.173328310E-028   5.789269344E-044   1.089452430E-040   3.207867051E-040   0.000000000E+000   0.000000000E+000   6.107421955E-023 
  2.488403537E+008   2.645557156E-006   3.759722311E+001   3.517865502E-020   3.920910143E-062   2.108444099E-062   4.637267052E-062   6.451439728E-062   6.109579296E-034   1.258099964E-032   3.303849948E-018   3.284480987E-018   2.072236376E-030   6.991114944E-031   1.850869752E-028   1.102986943E-030   6.667701643E-018   8.310987884E-020   3.933715856E-032   1.259467113E-032   1.929964396E-266   8.583353888E-267   1.185824021E-026   2.333525499E-028   7.249077721E-044   1.364166161E-040   4.016755171E-040   0.000000000E+000   0.000000000E+000   6.352150738E-022 
  2.622823219E+008   2.790254726E-006   4.347620266E+001   5.128836977E-020   3.920910143E-062   2.108444099E-062   4.637267052E-062   6.451439728E-062   6.109579296E-034   5.882852363E-032   3.580979550E-018   4.099196710E-018   2.164283800E-030   7.301655832E-031   2.939135431E-028   3.713519973E-030   1.670261051E-017   2.939704902E-019   4.947784144E-032   1.584143756E-032   4.233162175E-233   2.219045596E-233   1.579026756E-026   4.582348005E-028   8.788175373E-044   1.653800928E-040   4.869577928E-040   1.841882175E-296   9.197991718E-297   5.498208876E-021 
  2.760539494E+008   2.938786700E-006   5.041697126E+001   7.300028949E-020   3.920910143E-062   2.108444099E-062   4.637267052E-062   6.451439728E-062   6.109579296E-034   2.411862987E-031   3.863066545E-018   5.043359411E-018   2.164283800E-030   7.301655832E-031   4.573259133E-028   1.149171228E-029   4.016283728E-017   9.532534319E-019   5.083744419E-031   1.627674479E-031   9.672310957E-204   5.859756749E-204   2.070853185E-026   8.674115721E-028   1.145885968E-043   2.156383090E-040   6.349419281E-040   2.261334998E-258   1.174993511E-258   3.859423845E-020 
  3.042844043E+008   3.244236465E-006   6.792130493E+001   1.351490825E-019   3.920910143E-062   2.108444099E-062   4.637267052E-062   6.451439728E-062   6.109579296E-034   2.992803384E-030   4.430963625E-018   7.279854095E-018   3.723604254E-030   1.256234359E-030   1.022073072E-027   8.593965781E-029   1.977709909E-016   7.869309935E-018   2.594314791E-030   8.306279049E-031   4.553221573E-156   3.484215558E-156   3.366143559E-026   2.653718416E-027   1.420159518E-043   2.672524192E-040   7.869184614E-040   1.420188132E-196   7.867658136E-197   1.324688633E-018 
  3.221580370E+008   3.438341057E-006   8.157471509E+001   1.866397137E-019   3.920910143E-062   2.108444099E-062   4.637267052E-062   6.451439728E-062   6.109579296E-034   8.881099367E-030   4.782420773E-018   8.880093146E-018   4.710861498E-030   1.589305863E-030   1.575622414E-027   2.149027465E-028   4.291893078E-016   2.048968271E-017   5.064841329E-030   1.621622232E-030   1.909497824E-133   1.635293666E-133   4.380416896E-026   4.636577602E-027   1.451846022E-043   2.732153372E-040   8.044761334E-040   4.034874053E-167   2.305393767E-167   5.543132889E-018 
  3.400316697E+008   3.633041944E-006   9.747629434E+001   2.468167379E-019   3.920910143E-062   2.108444099E-062   4.637267052E-062   6.451439728E-062   6.109579296E-034   2.317549704E-029   5.127632669E-018   1.059647631E-017   5.207527542E-030   1.756866352E-030   2.323193984E-027   4.769707913E-028   8.470245099E-016   4.746497370E-017   6.810273334E-030   2.180461327E-030   6.211109026E-115   5.827951289E-115   5.531665070E-026   7.455424780E-027   1.451846022E-043   2.732153372E-040   8.044761334E-040   4.759430130E-143   2.788413150E-143   2.071539069E-017 
  3.579053024E+008   3.828372461E-006   1.158491428E+002   3.147969832E-019   9.680904622E-061   5.205843918E-061   1.144962226E-060   1.592889671E-060   1.470415806E-032   5.277485486E-029   5.467166469E-018   1.241137431E-017   5.704193587E-030   1.924426841E-030   3.296413722E-027   9.461167210E-028   1.534003531E-015   9.814853988E-017   1.149490976E-029   3.680352457E-030   7.030519404E-100   7.105657697E-100   6.803967296E-026   1.117795004E-026   1.451846022E-043   2.732153372E-040   8.044761334E-040   1.860070515E-123   1.112215515E-123   6.485687678E-017 
  3.701605262E+008   3.962682898E-006   1.299939268E+002   3.654592610E-019   1.604986675E-060   8.630712156E-061   1.898220453E-060   2.640834505E-060   2.436729284E-032   8.617813054E-029   5.697034663E-018   1.370532434E-017   5.704193587E-030   1.924426841E-030   4.108043609E-027   1.427041557E-027   2.204065902E-015   1.520398755E-016   1.631680548E-029   5.224190218E-030   2.341452164E-091   2.470183614E-091   7.737509942E-026   1.426002149E-026   1.451846022E-043   2.732153372E-040   8.044761334E-040   2.632053397E-112   1.592456211E-112   1.274575333E-016 
  3.922328703E+008   4.205408849E-006   1.589186640E+002   4.638268296E-019   2.767799318E-060   1.488366202E-060   3.273480931E-060   4.554118771E-060   4.189003951E-032   1.866626909E-028   6.105993743E-018   1.612116323E-017   5.704193587E-030   1.924426841E-030   5.895152454E-027   2.725719412E-027   3.938495374E-015   3.047978976E-016   1.921620092E-029   6.152496516E-030   3.683461992E-078   4.142514413E-078   9.519441492E-026   2.084584293E-026   2.406327566E-043   4.528342452E-040   1.333359782E-039   3.555311875E-095   2.189136384E-095   3.808103923E-016 
  4.076346722E+008   4.375432661E-006   1.819337085E+002   5.373242757E-019   3.579195241E-060   1.924689118E-060   4.233120261E-060   5.889184280E-060   5.411719003E-032   2.946991640E-028   6.388008045E-018   1.786486501E-017   5.704193587E-030   1.924426841E-030   7.400141523E-027   4.010755122E-027   5.610151071E-015   4.625625975E-016   1.921620092E-029   6.152496516E-030   5.781353702E-071   6.742480672E-071   1.082663918E-025   2.617795898E-026   3.072352689E-043   5.781700424E-040   1.702408089E-039   9.875465345E-086   6.141665571E-086   7.212075488E-016 
  4.230364741E+008   4.546020009E-006   2.074592018E+002   6.142516314E-019   3.579195241E-060   1.924689118E-060   4.233120261E-060   5.889184280E-060   5.411719003E-032   4.414601815E-028   6.667774926E-018   1.964959627E-017   5.704193587E-030   1.924426841E-030   9.123306534E-027   5.653127779E-027   7.721901920E-015   6.717172354E-016   3.967290165E-029   1.270216679E-029   1.009272881E-064   1.213963417E-064   1.217283736E-025   3.204347503E-026   3.184091821E-043   5.991976474E-040   1.764323377E-039   1.429598709E-077   8.966529230E-078   1.275643392E-015 
