     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz        Tgrain       Teff_gr    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)        grad_V 
  6.690884142E+007   1.060130137E-006   1.060660467E-006   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999995E+000   1.000002213E+001   9.999999860E+000   2.417800059E+004   4.158155518E+006   2.364803410E-020   2.392733393E-026   3.898288158E-025   6.007599153E+003   4.785016293E-004   3.522072000E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309524642E-016   9.974921825E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678512E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016293E-004   3.522072000E-004  -7.309524642E-016 
  8.296991929E+007   1.314608204E-006   1.315265837E-006   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999993E+000   1.000002744E+001   9.999999826E+000   2.417800059E+004   4.158155521E+006   2.364803410E-020   2.392733393E-026   3.898288158E-025   6.007599153E+003   4.785016293E-004   3.522072000E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309524118E-016   9.974921914E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678505E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016293E-004   3.522072000E-004  -7.309524118E-016 
  1.131910438E+008   1.793443650E-006   1.794340821E-006   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999991E+000   1.000003743E+001   9.999999763E+000   2.417800058E+004   4.158155527E+006   2.364803410E-020   2.392733393E-026   3.898288157E-025   6.007599153E+003   4.785016293E-004   3.522072000E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309523133E-016   9.974922082E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678491E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016293E-004   3.522072000E-004  -7.309523133E-016 
  1.605998430E+008   2.544607407E-006   2.545880347E-006   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999987E+000   1.000005311E+001   9.999999664E+000   2.417800058E+004   4.158155537E+006   2.364803410E-020   2.392733393E-026   3.898288157E-025   6.007599153E+003   4.785016293E-004   3.522072000E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309521590E-016   9.974922345E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678470E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016293E-004   3.522072000E-004  -7.309521590E-016 
  2.494806394E+008   3.952869886E-006   3.954847310E-006   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999980E+000   1.000008249E+001   9.999999478E+000   2.417800057E+004   4.158155555E+006   2.364803410E-020   2.392733393E-026   3.898288157E-025   6.007599153E+003   4.785016292E-004   3.522072000E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309518708E-016   9.974922838E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678430E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573549E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016292E-004   3.522072000E-004  -7.309518708E-016 
  4.137824407E+008   6.556132585E-006   6.559412291E-006   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999967E+000   1.000013681E+001   9.999999136E+000   2.417800055E+004   4.158155589E+006   2.364803410E-020   2.392733392E-026   3.898288157E-025   6.007599153E+003   4.785016291E-004   3.522071999E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309513414E-016   9.974923751E-014   1.500000000E+001   1.024088323E+001   6.947939085E+001   4.632798246E-007   1.914592049E-022   4.565678356E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573549E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016291E-004   3.522071999E-004  -7.309513414E-016 
  5.375456430E+008   8.517085694E-006   8.521346367E-006   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999958E+000   1.000017773E+001   9.999998879E+000   2.417800054E+004   4.158155614E+006   2.364803410E-020   2.392733391E-026   3.898288157E-025   6.007599153E+003   4.785016290E-004   3.522071999E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309509455E-016   9.974924438E-014   1.500000000E+001   1.024088323E+001   6.947939085E+001   4.632798246E-007   1.914592049E-022   4.565678300E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573548E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970056E-009   6.001930033E+003   4.785016290E-004   3.522071999E-004  -7.309509455E-016 
  7.344320049E+008   1.163663105E-005   1.164245228E-005   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999942E+000   1.000024280E+001   9.999998471E+000   2.417800052E+004   4.158155654E+006   2.364803410E-020   2.392733391E-026   3.898288157E-025   6.007599153E+003   4.785016288E-004   3.522071999E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309503224E-016   9.974925530E-014   1.500000000E+001   1.024088322E+001   6.947939085E+001   4.632798246E-007   1.914592049E-022   4.565678211E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573547E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970056E-009   6.001930033E+003   4.785016288E-004   3.522071999E-004  -7.309503224E-016 
  9.313183669E+008   1.475617641E-005   1.476355819E-005   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999926E+000   1.000030787E+001   9.999998066E+000   2.417800050E+004   4.158155694E+006   2.364803410E-020   2.392733390E-026   3.898288156E-025   6.007599153E+003   4.785016287E-004   3.522071999E-004   3.936353524E-024   5.000470733E-023   1.106816714E-021  -7.309497024E-016   9.974926623E-014   1.500000000E+001   1.024088322E+001   6.947939085E+001   4.632798246E-007   1.914592049E-022   4.565678122E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573546E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970056E-009   6.001930033E+003   4.785016287E-004   3.522071999E-004  -7.309497024E-016 
  1.128204729E+009   1.787572177E-005   1.788466410E-005   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999911E+000   1.000037292E+001   9.999997661E+000   2.417800049E+004   4.158155735E+006   2.364803410E-020   2.392733389E-026   3.898288156E-025   6.007599153E+003   4.785016286E-004   3.522071998E-004   3.936353524E-024   5.000470732E-023   1.106816714E-021  -7.309490894E-016   9.974927716E-014   1.500000000E+001   1.024088321E+001   6.947939085E+001   4.632798246E-007   1.914592049E-022   4.565678033E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573546E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970056E-009   6.001930033E+003   4.785016286E-004   3.522071998E-004  -7.309490894E-016 
