     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  6.690884142E+007   1.060130137E-006   9.999999995E+000   8.985287777E-023   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   5.629896668E-045   5.592781410E-019   8.950965306E-020   1.362870996E-031   4.597925167E-032   1.205242323E-031   3.019921669E-040   9.245737887E-025   1.203685261E-029   7.269771753E-039   2.327580023E-039   0.000000000E+000   0.000000000E+000   1.586520454E-028   1.228169814E-033   1.670863157E-046   3.144310306E-043   9.258347728E-043   0.000000000E+000   0.000000000E+000   2.142974935E-039 
  8.296991929E+007   1.314608204E-006   9.999999993E+000   1.114378989E-022   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   6.982402622E-045   6.936300020E-019   1.110119925E-019   1.396627905E-031   4.711811031E-032   1.494770086E-031   3.745378362E-040   1.146678318E-024   1.492838978E-029   9.287506127E-039   2.973602812E-039   0.000000000E+000   0.000000000E+000   1.967640237E-028   1.523205257E-033   1.670863157E-046   3.144310306E-043   9.258347728E-043   0.000000000E+000   0.000000000E+000   2.657768281E-039 
  1.131910438E+008   1.793443650E-006   9.999999991E+000   1.520533240E-022   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   9.527403354E-045   9.464314862E-019   1.514715983E-019   1.460146166E-031   4.926102930E-032   2.039556346E-031   5.110424863E-040   1.564598502E-024   2.036921419E-029   1.156957683E-038   3.704258790E-039   0.000000000E+000   0.000000000E+000   2.684769444E-028   2.078354925E-033   1.670863157E-046   3.144310306E-043   9.258347728E-043   0.000000000E+000   0.000000000E+000   3.626422675E-039 
  1.605998430E+008   2.544607407E-006   9.999999987E+000   2.157686171E-022   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   1.352002082E-044   1.343008879E-018   2.149418148E-019   3.403185305E-031   1.148134446E-031   2.894179152E-031   7.251815011E-040   2.220202626E-024   2.890440116E-029   1.280850328E-038   4.100928800E-039   0.000000000E+000   0.000000000E+000   3.809751826E-028   2.949234999E-033   5.115577779E-046   9.626739248E-043   2.834570725E-042   0.000000000E+000   0.000000000E+000   5.145980318E-039 
  2.494806394E+008   3.952869886E-006   9.999999980E+000   3.352225085E-022   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   2.100592657E-044   2.086501967E-018   3.339341429E-019   7.326157368E-031   2.471629629E-031   4.496403986E-031   1.126643793E-039   3.449312351E-024   4.490594975E-029   1.638312794E-038   5.245424837E-039   0.000000000E+000   0.000000000E+000   5.918839644E-028   4.581938118E-033   2.168618681E-045   4.081010488E-042   1.201643938E-041   0.000000000E+000   0.000000000E+000   7.994807791E-039 
  4.137824407E+008   6.556132585E-006   9.999999967E+000   5.560478292E-022   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   3.484632886E-044   3.460896193E-018   5.538990230E-019   1.336937669E-030   4.510433765E-031   7.458218391E-031   1.868772423E-039   5.721399743E-024   7.448582836E-029   1.869737655E-038   5.986383289E-039   0.000000000E+000   0.000000000E+000   9.817621840E-028   7.600092133E-033   4.313112216E-045   8.116621122E-042   2.389919996E-041   0.000000000E+000   0.000000000E+000   1.326104614E-038 
  5.375456430E+008   8.517085694E-006   9.999999958E+000   7.223945389E-022   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   4.527376476E-044   4.496182652E-018   7.195914107E-019   1.753135204E-030   5.914561614E-031   9.689256808E-031   2.427793718E-039   7.432889221E-024   9.676738786E-029   1.869737655E-038   5.986383289E-039   0.000000000E+000   0.000000000E+000   1.275444706E-027   9.873568116E-033   4.964640103E-045   9.342697501E-042   2.750935301E-041   0.000000000E+000   0.000000000E+000   1.722793192E-038 
  7.344320049E+008   1.163663105E-005   9.999999942E+000   9.870350129E-022   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   6.186543930E-044   6.143148635E-018   9.831800264E-019   1.753135204E-030   5.914561614E-031   1.323846225E-030   3.317102038E-039   1.015557998E-023   1.322135861E-028   1.869737655E-038   5.986383289E-039   0.000000000E+000   0.000000000E+000   1.742643917E-027   1.349028239E-032   8.026946328E-045   1.510549201E-041   4.447776587E-041   0.000000000E+000   0.000000000E+000   2.353857707E-038 
  9.313183669E+008   1.475617641E-005   9.999999926E+000   1.251688921E-021   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   7.846127023E-044   7.790114613E-018   1.246768640E-018   1.753135204E-030   5.914561614E-031   1.678766763E-030   4.206410346E-039   1.287827064E-023   1.676597825E-028   2.491994704E-038   7.978678407E-039   0.000000000E+000   0.000000000E+000   2.209843002E-027   1.710699395E-032   1.090676889E-044   2.052488002E-041   6.043502640E-041   0.000000000E+000   0.000000000E+000   2.984922166E-038 
  1.128204729E+009   1.787572177E-005   9.999999911E+000   1.516356262E-021   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   9.506125787E-044   9.437080586E-018   1.510357251E-018   1.753135204E-030   5.914561614E-031   2.033687295E-030   5.095718686E-039   1.560096120E-023   2.031059772E-028   3.114251753E-038   9.970973524E-039   0.000000000E+000   0.000000000E+000   2.677041961E-027   2.072370280E-032   1.143106794E-044   2.151153107E-041   6.334019720E-041   0.000000000E+000   0.000000000E+000   3.615986568E-038 
