     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  6.454487900E+008   6.817830543E-006   9.999999966E+000   4.853745711E-029   1.958206888E-024   5.317591332E-031   1.146245321E-030   1.970784975E-022   4.097788388E-166   1.970784975E-022   3.184331394E-026   7.771834468E-027   1.054793735E-132   3.961514841E-026   1.688991461E-029   1.058694730E-051   1.219421059E-025   2.265298188E-038   1.737793695E-031   0.000000000E+000   2.981948635E-035   8.696182814E-049 
  8.704022447E+008   9.193998193E-006   9.999999954E+000   6.544126905E-029   1.958206884E-024   5.317591250E-031   1.146245365E-030   1.970784971E-022   4.097786868E-166   1.970784971E-022   3.184331379E-026   7.771834426E-027   1.054793439E-132   3.961514821E-026   1.689056772E-029   1.058896751E-051   1.219421056E-025   2.265298158E-038   1.737793647E-031   0.000000000E+000   2.981948014E-035   8.698397235E-049 
  1.233731288E+009   1.303181753E-005   9.999999935E+000   9.273714120E-029   1.958206879E-024   5.317591117E-031   1.146245435E-030   1.970784964E-022   4.097784412E-166   1.970784964E-022   3.184331356E-026   7.771834360E-027   1.054792962E-132   3.961514792E-026   1.689162246E-029   1.059223066E-051   1.219421050E-025   2.265298111E-038   1.737793570E-031   0.000000000E+000   2.981947015E-035   8.701974395E-049 
  1.812617016E+009   1.914654710E-005   9.999999904E+000   1.362111854E-028   1.958206870E-024   5.317590906E-031   1.146245548E-030   1.970784954E-022   4.097780500E-166   1.970784954E-022   3.184331320E-026   7.771834255E-027   1.054792202E-132   3.961514746E-026   1.689330264E-029   1.059743045E-051   1.219421041E-025   2.265298034E-038   1.737793448E-031   0.000000000E+000   2.981945434E-035   8.707675306E-049 
  2.444256371E+009   2.581850954E-005   9.999999871E+000   1.836273285E-028   1.958206860E-024   5.317590676E-031   1.146245671E-030   1.970784943E-022   4.097776232E-166   1.970784943E-022   3.184331278E-026   7.771834137E-027   1.054791373E-132   3.961514691E-026   1.689513548E-029   1.060310502E-051   1.219421031E-025   2.265297951E-038   1.737793314E-031   0.000000000E+000   2.981943722E-035   8.713897821E-049 
  3.444258857E+009   3.638146604E-005   9.999999818E+000   2.586559218E-028   1.958206844E-024   5.317590311E-031   1.146245866E-030   1.970784925E-022   4.097769474E-166   1.970784925E-022   3.184331215E-026   7.771833955E-027   1.054790060E-132   3.961514611E-026   1.689803625E-029   1.061209088E-051   1.219421015E-025   2.265297820E-038   1.737793102E-031   0.000000000E+000   2.981941043E-035   8.723753659E-049 
  5.159597372E+009   5.450046711E-005   9.999999728E+000   3.872437835E-028   1.958206817E-024   5.317589686E-031   1.146246200E-030   1.970784894E-022   4.097757882E-166   1.970784894E-022   3.184331110E-026   7.771833644E-027   1.054787807E-132   3.961514475E-026   1.690300932E-029   1.062751025E-051   1.219420988E-025   2.265297594E-038   1.737792738E-031   0.000000000E+000   2.981936533E-035   8.740672382E-049 
  6.682150233E+009   7.058308678E-005   9.999999648E+000   5.012566933E-028   1.958206794E-024   5.317589131E-031   1.146246496E-030   1.970784866E-022   4.097747593E-166   1.970784866E-022   3.184331001E-026   7.771833357E-027   1.054785808E-132   3.961514336E-026   1.690742058E-029   1.064120258E-051   1.219420964E-025   2.265297394E-038   1.737792416E-031   0.000000000E+000   2.981932621E-035   8.755703019E-049 
  9.178332456E+009   9.695008546E-005   9.999999516E+000   6.879369407E-028   1.958206755E-024   5.317588221E-031   1.146246982E-030   1.970784821E-022   4.097730725E-166   1.970784821E-022   3.184330847E-026   7.771832903E-027   1.054782531E-132   3.961514137E-026   1.691464685E-029   1.066366280E-051   1.219420925E-025   2.265297065E-038   1.737791887E-031   0.000000000E+000   2.981926392E-035   8.780372554E-049 
  1.189426298E+010   1.256382701E-004   9.999999373E+000   8.907536412E-028   1.958206713E-024   5.317587231E-031   1.146247511E-030   1.970784773E-022   4.097712372E-166   1.970784773E-022   3.184330662E-026   7.771832398E-027   1.054778965E-132   3.961513902E-026   1.692250100E-029   1.068811719E-051   1.219420882E-025   2.265296708E-038   1.737791311E-031   0.000000000E+000   2.981919875E-035   8.807252216E-049 
  1.630857389E+010   1.722663283E-004   9.999999140E+000   1.219738226E-027   1.958206644E-024   5.317585622E-031   1.146248371E-030   1.970784693E-022   4.097682542E-166   1.970784693E-022   3.184330389E-026   7.771831594E-027   1.054773169E-132   3.961513549E-026   1.693524827E-029   1.072790135E-051   1.219420813E-025   2.265296127E-038   1.737790376E-031   0.000000000E+000   2.981909861E-035   8.851025980E-049 
  2.072288479E+010   2.188943865E-004   9.999998908E+000   1.547975379E-027   1.958206575E-024   5.317584013E-031   1.146249230E-030   1.970784614E-022   4.097652712E-166   1.970784614E-022   3.184330083E-026   7.771830770E-027   1.054767373E-132   3.961513160E-026   1.694797279E-029   1.076773162E-051   1.219420743E-025   2.265295546E-038   1.737789440E-031   0.000000000E+000   2.981900560E-035   8.894904965E-049 
  2.782009646E+010   2.938617382E-004   9.999998534E+000   2.074269366E-027   1.958206465E-024   5.317581425E-031   1.146250612E-030   1.970784486E-022   4.097604754E-166   1.970784486E-022   3.184329643E-026   7.771829477E-027   1.054758054E-132   3.961512591E-026   1.696838330E-029   1.083186559E-051   1.219420631E-025   2.265294612E-038   1.737787936E-031   0.000000000E+000   2.981887097E-035   8.965672317E-049 
  4.290410572E+010   4.531930757E-004   9.999997739E+000   3.187718466E-027   1.958206230E-024   5.317575927E-031   1.146253550E-030   1.970784215E-022   4.097502828E-166   1.970784215E-022   3.184328754E-026   7.771826760E-027   1.054738250E-132   3.961511430E-026   1.701156799E-029   1.096855993E-051   1.219420394E-025   2.265292628E-038   1.737784740E-031   0.000000000E+000   2.981864551E-035   9.116972945E-049 
  5.798811497E+010   6.125244132E-004   9.999996944E+000   4.295104904E-027   1.958205996E-024   5.317570428E-031   1.146256487E-030   1.970783944E-022   4.097400905E-166   1.970783944E-022   3.184327706E-026   7.771823942E-027   1.054718446E-132   3.961510100E-026   1.705448874E-029   1.110577170E-051   1.219420156E-025   2.265290643E-038   1.737781543E-031   0.000000000E+000   2.981850183E-035   9.269482610E-049 
  7.307212422E+010   7.718557507E-004   9.999996149E+000   5.397053356E-027   1.958205761E-024   5.317564930E-031   1.146259424E-030   1.970783673E-022   4.097298985E-166   1.970783673E-022   3.184326658E-026   7.771821125E-027   1.054698642E-132   3.961508771E-026   1.709714655E-029   1.124348900E-051   1.219419919E-025   2.265288658E-038   1.737778346E-031   0.000000000E+000   2.981843910E-035   9.423189932E-049 
  9.724400631E+010   1.027181655E-003   9.999994875E+000   7.152275521E-027   1.958205385E-024   5.317556119E-031   1.146264131E-030   1.970783238E-022   4.097135667E-166   1.970783238E-022   3.184325161E-026   7.771816725E-027   1.054666908E-132   3.961506833E-026   1.716495918E-029   1.146520300E-051   1.219419538E-025   2.265285478E-038   1.737773224E-031   0.000000000E+000   2.981850522E-035   9.671971715E-049 
  1.214158884E+011   1.282507559E-003   9.999993601E+000   8.894672610E-027   1.958205009E-024   5.317547308E-031   1.146268838E-030   1.970782804E-022   4.096972356E-166   1.970782804E-022   3.184323482E-026   7.771812212E-027   1.054635175E-132   3.961504703E-026   1.723210326E-029   1.168813544E-051   1.219419157E-025   2.265282298E-038   1.737768102E-031   0.000000000E+000   2.981877357E-035   9.923750391E-049 
  1.656219745E+011   1.749453363E-003   9.999991271E+000   1.204824972E-026   1.958204322E-024   5.317531194E-031   1.146277446E-030   1.970782009E-022   4.096673707E-166   1.970782009E-022   3.184320812E-026   7.771804210E-027   1.054577144E-132   3.961501233E-026   1.735318241E-029   1.209882900E-051   1.219418461E-025   2.265276482E-038   1.737758734E-031   0.000000000E+000   2.981977636E-035   1.039179479E-048 
