    V   J   Energy(K)   log(N/g)
    7     0   3.494622E+004   2.417066E+001 
    3    17   3.499413E+004   2.263164E+001 
    6     8   3.504117E+004   2.215757E+001 
    7     1   3.505878E+004   2.192090E+001 
    7     2   3.528236E+004   2.220911E+001 
    5    12   3.552731E+004   2.253961E+001 
    7     3   3.561473E+004   2.227091E+001 
    4    15   3.578419E+004   2.264833E+001 
    6     9   3.599047E+004   2.228918E+001 
    7     4   3.605189E+004   2.190194E+001 
    1    22   3.613139E+004   2.173885E+001 
    0    24   3.617459E+004   2.116457E+001 
    2    20   3.629979E+004   2.185009E+001 
    7     5   3.658964E+004   2.163066E+001 
    3    18   3.668984E+004   2.210014E+001 
    5    13   3.682003E+004   2.215834E+001 
    6    10   3.701302E+004   2.204525E+001 
    7     6   3.722192E+004   2.152398E+001 
    4    16   3.730808E+004   2.214081E+001 
    7     7   3.794263E+004   2.162092E+001 
    6    11   3.810113E+004   2.190752E+001 
    1    23   3.813447E+004   2.154046E+001 
    5    14   3.815979E+004   2.221476E+001 
    2    21   3.816475E+004   2.176301E+001 
    0    25   3.830484E+004   2.118916E+001 
    3    19   3.840503E+004   2.108239E+001 
    8     0   3.860553E+004   2.138581E+001 
    8     1   3.870915E+004   2.171610E+001 
    7     8   3.874438E+004   2.100036E+001 
    4    17   3.886111E+004   2.204553E+001 
    8     2   3.891514E+004   2.220407E+001 
    8     3   3.922109E+004   2.095824E+001 
