     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  1.216007837E+009   3.853381785E-005   9.999999808E+000   1.634647596E-021   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   1.025448704E-043   1.017155864E-017   1.627906734E-018   2.766479717E-030   9.333287417E-031   2.191966935E-030   5.492312731E-039   1.681516575E-023   2.189134667E-028   1.212690306E-037   3.882699247E-038   0.000000000E+000   0.000000000E+000   2.884858104E-027   2.233242853E-032   1.146776401E-045   2.158058750E-042   6.354353222E-042   0.000000000E+000   0.000000000E+000   3.897413885E-038 
  1.756332010E+009   5.565603750E-005   9.999999722E+000   2.361349926E-021   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   1.482136605E-043   1.469140193E-017   2.351284850E-018   2.766479717E-030   9.333287417E-031   3.165991285E-030   7.932880753E-039   2.428716629E-023   3.161900170E-028   1.294651962E-037   4.145117821E-038   0.000000000E+000   0.000000000E+000   4.166773376E-027   3.225602304E-032   4.335072004E-045   8.157946103E-042   2.402088039E-041   0.000000000E+000   0.000000000E+000   5.629271022E-038 
  2.296656183E+009   7.277825714E-005   9.999999637E+000   3.088254373E-021   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   1.939451595E-043   1.921124514E-017   3.074662931E-018   2.936826384E-030   9.907986877E-031   4.140015542E-030   1.037344798E-038   3.175916536E-023   4.134665399E-028   1.684030516E-037   5.391800349E-038   0.000000000E+000   0.000000000E+000   5.448686860E-027   4.217957909E-032   6.752456722E-045   1.270709643E-041   3.741574652E-041   0.000000000E+000   0.000000000E+000   7.361127310E-038 
  3.348132948E+009   1.060982843E-004   9.999999470E+000   4.503397206E-021   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   2.831190271E-043   2.800690938E-017   4.482364503E-018   4.262812306E-030   1.438147267E-030   6.035477163E-030   1.512281706E-038   4.629975322E-023   6.027676416E-028   2.282267169E-037   7.307188796E-038   0.000000000E+000   0.000000000E+000   7.943299601E-027   6.149082147E-032   6.752456722E-045   1.270709643E-041   3.741574652E-041   0.000000000E+000   0.000000000E+000   1.073133620E-037 
  5.241792023E+009   1.661060504E-004   9.999999171E+000   7.053927180E-021   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   4.443167964E-043   4.384747687E-017   7.017566978E-018   6.053839953E-030   2.042387223E-030   9.449111491E-030   2.367619625E-038   7.248663842E-023   9.436895579E-028   2.282267169E-037   7.307188796E-038   0.000000000E+000   0.000000000E+000   1.243596155E-026   9.626910457E-032   6.752456722E-045   1.270709643E-041   3.741574652E-041   0.000000000E+000   0.000000000E+000   1.680091219E-037 
  7.135451098E+009   2.261138166E-004   9.999998872E+000   9.606929231E-021   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   6.062869404E-043   5.968804346E-017   9.552769012E-018   9.436892173E-030   3.183729359E-030   1.286274469E-029   3.222956672E-038   9.867350547E-023   1.284611138E-027   2.733711510E-037   8.752588824E-038   0.000000000E+000   0.000000000E+000   1.692860481E-026   1.310469862E-031   6.752456722E-045   1.270709643E-041   3.741574652E-041   0.000000000E+000   0.000000000E+000   2.287047776E-037 
  9.001105726E+009   2.852341556E-004   9.999998576E+000   1.212458811E-020   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   7.666182236E-043   7.529435036E-017   1.205047869E-017   1.276991400E-029   4.308192716E-030   1.622589415E-029   4.065643677E-038   1.244730893E-022   1.620490657E-027   5.076807468E-037   1.625453459E-037   0.000000000E+000   0.000000000E+000   2.135479192E-026   1.653101984E-031   2.119236490E-044   3.988080717E-041   1.174280986E-040   0.000000000E+000   0.000000000E+000   2.885027315E-037 
  1.267621776E+010   4.016940118E-004   9.999997995E+000   1.709104819E-020   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   1.084652251E-042   1.060368686E-016   1.697066081E-017   1.933556042E-029   6.523248359E-030   2.285088513E-029   5.725631965E-038   1.752950708E-022   2.282131382E-027   8.816281703E-037   2.822729773E-037   0.000000000E+000   0.000000000E+000   3.007379996E-026   2.328036744E-031   4.963722257E-044   9.340970254E-041   2.750426717E-040   0.000000000E+000   0.000000000E+000   4.062971100E-037 
  1.833058456E+010   5.808740580E-004   9.999997101E+000   2.475022439E-020   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   1.579683630E-042   1.533359573E-016   2.454063480E-017   3.419087909E-029   1.153499516E-029   3.304379850E-029   8.279611371E-038   2.534874175E-022   3.300100416E-027   1.131990787E-036   3.624321686E-037   0.000000000E+000   0.000000000E+000   4.348840518E-026   3.366444803E-031   4.963722257E-044   9.340970254E-041   2.750426717E-040   0.000000000E+000   0.000000000E+000   5.875296273E-037 
  2.896274743E+010   9.177944421E-004   9.999995420E+000   3.921068584E-020   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   2.529382689E-042   2.422745615E-016   3.877479029E-017   4.312948096E-029   1.455061606E-029   5.220996955E-029   1.308195493E-037   4.005156026E-022   5.214225729E-027   1.602758993E-036   5.131591390E-037   0.000000000E+000   0.000000000E+000   6.871239411E-026   5.318988753E-031   4.963722257E-044   9.340970254E-041   2.750426717E-040   0.000000000E+000   0.000000000E+000   9.283068496E-037 
  4.023171491E+010   1.274894394E-003   9.999993638E+000   5.461985434E-020   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   3.563017944E-042   3.365400386E-016   5.386147360E-017   4.312948096E-029   1.455061606E-029   7.252404381E-029   1.817190258E-037   5.563492950E-022   7.242984414E-027   1.602758993E-036   5.131591390E-037   0.000000000E+000   0.000000000E+000   9.544726884E-026   7.388504065E-031   4.963722257E-044   9.340970254E-041   2.750426717E-040   0.000000000E+000   0.000000000E+000   1.289491055E-036 
  5.883850572E+010   1.864521094E-003   9.999990695E+000   8.024549810E-020   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   5.331236595E-042   4.921867049E-016   7.877186361E-017   4.312948096E-029   1.455061606E-029   1.060656036E-028   2.657612179E-037   8.136531757E-022   1.059274955E-026   1.602758993E-036   5.131591390E-037   0.000000000E+000   0.000000000E+000   1.395918988E-025   1.080586279E-030   4.963722257E-044   9.340970254E-041   2.750426717E-040   0.000000000E+000   0.000000000E+000   1.885853403E-036 
  8.619956786E+010   2.731560066E-003   9.999986368E+000   1.183313923E-019   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   8.072192160E-042   7.210630969E-016   1.154022153E-016   1.581435385E-028   5.335297016E-029   1.553878663E-028   3.893428073E-037   1.192012257E-021   1.551847989E-026   1.602758993E-036   5.131591390E-037   0.000000000E+000   0.000000000E+000   2.045117616E-025   1.583228177E-030   6.037342626E-044   1.136136048E-040   3.345325867E-040   0.000000000E+000   0.000000000E+000   2.762778786E-036 
