    V   J   Energy(K)   log(N/g)
    0    21   2.976661E+004   1.992699E+001 
    5     7   3.006431E+004   1.927470E+001 
    3    14   3.009785E+004   2.049814E+001 
    4    11   3.013990E+004   1.990243E+001 
    1    19   3.015462E+004   2.015789E+001 
    2    17   3.079235E+004   1.989540E+001 
    6     0   3.094320E+004   1.926771E+001 
    5     8   3.099552E+004   1.923703E+001 
    6     1   3.106412E+004   1.923956E+001 
    6     2   3.130464E+004   1.902722E+001 
    4    12   3.146651E+004   1.984260E+001 
    6     3   3.166233E+004   1.900690E+001 
    3    15   3.169026E+004   2.024136E+001 
    0    22   3.190031E+004   1.948080E+001 
    5     9   3.201575E+004   1.917530E+001 
    6     4   3.213322E+004   1.884360E+001 
    1    20   3.213454E+004   1.954413E+001 
    2    18   3.260639E+004   1.970896E+001 
    6     5   3.271272E+004   1.939517E+001 
    4    13   3.285516E+004   1.974839E+001 
    5    10   3.311646E+004   1.916894E+001 
    3    16   3.332489E+004   1.983527E+001 
    6     6   3.339496E+004   1.870151E+001 
    0    23   3.403759E+004   1.913735E+001 
    1    21   3.412953E+004   1.930303E+001 
    6     7   3.417363E+004   1.868926E+001 
    5    11   3.428978E+004   1.914152E+001 
    4    14   3.429681E+004   1.959826E+001 
    2    19   3.444505E+004   1.793314E+001 
    7     0   3.494622E+004   1.871841E+001 
    3    17   3.499413E+004   1.942565E+001 
    6     8   3.504117E+004   1.868064E+001 
    7     1   3.505878E+004   1.849469E+001 
    7     2   3.528236E+004   1.845976E+001 
    5    12   3.552731E+004   1.913494E+001 
    7     3   3.561473E+004   1.843123E+001 
    4    15   3.578419E+004   1.947496E+001 
    6     9   3.599047E+004   1.867499E+001 
    7     4   3.605189E+004   1.839385E+001 
    1    22   3.613139E+004   1.854580E+001 
    0    24   3.617459E+004   1.864247E+001 
    2    20   3.629979E+004   1.878507E+001 
    7     5   3.658964E+004   1.836545E+001 
    3    18   3.668984E+004   1.898809E+001 
    5    13   3.682003E+004   1.895145E+001 
    6    10   3.701302E+004   1.862754E+001 
    7     6   3.722192E+004   1.832981E+001 
    4    16   3.730808E+004   1.904493E+001 
    7     7   3.794263E+004   1.831501E+001 
    6    11   3.810113E+004   1.862421E+001 
    1    23   3.813447E+004   1.834814E+001 
    5    14   3.815979E+004   1.890082E+001 
    2    21   3.816475E+004   1.856807E+001 
    0    25   3.830484E+004   1.816040E+001 
    3    19   3.840503E+004   1.799415E+001 
    8     0   3.860553E+004   1.819076E+001 
    8     1   3.870915E+004   1.818001E+001 
    7     8   3.874438E+004   1.808093E+001 
    4    17   3.886111E+004   1.888743E+001 
    8     2   3.891514E+004   1.816038E+001 
    8     3   3.922109E+004   1.810778E+001 
