     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz        Tgrain       Teff_gr    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)        grad_V 
  5.706536817E+007   1.809347090E-006   1.809347090E-006   1.001407253E+004   3.000000000E+000   9.986168251E+005   9.986168251E+005   1.003002638E+001   1.003002638E+001   1.003002638E+001   2.421427032E+004   4.159911183E+005   2.368079296E-020   2.396047024E-026   3.903687640E-025   6.015920314E+003   4.791642881E-004   3.526950389E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   3.845930775E-005   3.845930775E-005   1.500000000E+001   1.003002638E+001   6.951414792E+001   4.636895484E-007   1.917243933E-022   4.570123440E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.289765097E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.010243341E+003   4.791642881E-004   3.526950389E-004   3.845930631E-005 
  8.100458398E+007   2.569407429E-006   2.569407429E-006   1.002474506E+004   3.000000000E+000   9.975536789E+005   9.975536789E+005   1.007781440E+001   1.007781440E+001   1.007781440E+001   2.427188616E+004   4.162127733E+005   2.370603084E-020   2.398600619E-026   3.907848009E-025   6.022331801E+003   4.796749591E-004   3.530709248E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   5.035551073E-005   5.035551073E-005   1.500000000E+001   1.007781440E+001   6.951414792E+001   4.641837271E-007   1.919287242E-022   4.574994046E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.295279028E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.016648779E+003   4.796749591E-004   3.530709248E-004   5.035550437E-005 
  1.233594359E+008   3.916615242E-006   3.916615242E-006   1.005070847E+004   3.000000000E+000   9.949767563E+005   9.949767563E+005   1.028276106E+001   1.028276106E+001   1.028276106E+001   2.451744563E+004   4.167516055E+005   2.376742786E-020   2.404812833E-026   3.917969071E-025   6.037929233E+003   4.809172848E-004   3.539853547E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   7.130282931E-005   7.130282931E-005   1.500000000E+001   1.028276106E+001   6.951414792E+001   4.653859316E-007   1.924258066E-022   4.586842948E-023   3.260038782E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.313813831E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.032231492E+003   4.809172848E-004   3.539853547E-004   7.130283463E-005 
  1.654004404E+008   5.257886859E-006   5.257886859E-006   1.008549501E+004   3.000000000E+000   9.915449171E+005   9.915449171E+005   1.075160915E+001   1.075160915E+001   1.075160915E+001   2.507015868E+004   4.174726720E+005   2.384968938E-020   2.413136138E-026   3.931529566E-025   6.058827129E+003   4.825817890E-004   3.552105345E-004   3.936354161E-024   5.000470786E-023   1.106816714E-021   9.192653863E-005   9.192653863E-005   1.500000000E+001   1.075160915E+001   6.951414792E+001   4.669966803E-007   1.930918122E-022   4.602718488E-023   3.260038782E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.349576184E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.053109667E+003   4.825817890E-004   3.552105345E-004   9.192653650E-005 
  2.317034437E+008   7.384572996E-006   7.384572996E-006   1.015886909E+004   3.000000000E+000   9.843833230E+005   9.843833230E+005   1.245079120E+001   1.245079120E+001   1.245079120E+001   2.697856364E+004   4.189903019E+005   2.402320085E-020   2.430692208E-026   3.960132264E-025   6.102906361E+003   4.860926724E-004   3.577947653E-004   3.936354161E-024   5.000470786E-023   1.106816714E-021   1.239943322E-004   1.239943322E-004   1.500000000E+001   1.245079120E+001   6.951414792E+001   4.703941786E-007   1.944965954E-022   4.636204355E-023   3.260038782E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.461231535E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.097147303E+003   4.860926724E-004   3.577947653E-004   1.239933601E-004 
  3.324195659E+008   1.065166662E-005   1.065166662E-005   1.031483988E+004   3.000000000E+000   9.694984534E+005   9.694984534E+005   1.910007689E+001   1.910007689E+001   1.910007689E+001   3.341472618E+004   4.222014942E+005   2.439203301E-020   2.468011032E-026   4.020932830E-025   6.196605288E+003   4.935557344E-004   3.632880476E-004   3.936354161E-024   5.000470789E-023   1.106816714E-021   1.712533433E-004   1.712533433E-004   1.500000000E+001   1.910007689E+001   6.951414792E+001   4.776162180E-007   1.974827337E-022   4.707385587E-023   3.260038782E-006   1.502579159E-311   1.502579093E-311   6.537229593E-319  -0.000000000E+000   1.808768825E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.190757811E+003   4.935557344E-004   3.632880476E-004   1.712533405E-004 
  3.933483513E+008   1.265488865E-005   1.265488865E-005   1.043623060E+004   3.000000000E+000   9.582215737E+005   9.582215737E+005   2.694032458E+001   2.694032458E+001   2.694032458E+001   3.968457747E+004   4.246868130E+005   2.467909190E-020   2.497055954E-026   4.068253388E-025   6.269530355E+003   4.993641716E-004   3.675634219E-004   3.936354161E-024   5.000470792E-023   1.106816714E-021   1.987598653E-004   1.987598653E-004   1.500000000E+001   2.694032458E+001   6.951414792E+001   4.832370689E-007   1.998068194E-022   4.762785809E-023   3.260038782E-006   7.015754487E-227   7.015754124E-227   3.625057010E-234  -0.000000000E+000   2.125595027E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970058E-009   6.263614062E+003   4.993641716E-004   3.675634219E-004   1.987598653E-004 
  4.165203587E+008   1.342309508E-005   1.342309508E-005   1.048793844E+004   3.000000000E+000   9.534973316E+005   9.534973316E+005   3.094299765E+001   3.094299765E+001   3.094299765E+001   4.253060307E+004   4.257417724E+005   2.480136808E-020   2.509427987E-026   4.088410146E-025   6.300593661E+003   5.018383451E-004   3.693845688E-004   3.936354161E-024   5.000470793E-023   1.106816714E-021   2.089700505E-004   2.089700505E-004   1.500000000E+001   3.094299765E+001   6.951414792E+001   4.856313377E-007   2.007967915E-022   4.786384315E-023   3.260038782E-006   3.420745609E-200   3.420745420E-200   1.894266224E-207  -0.000000000E+000   2.263016506E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970059E-009   6.294648055E+003   5.018383451E-004   3.693845688E-004   2.089700505E-004 
  4.665036339E+008   1.509393376E-005   1.509393376E-005   1.061018125E+004   3.000000000E+000   9.425118273E+005   9.425118273E+005   4.189011176E+001   4.189011176E+001   4.189011176E+001   4.948528870E+004   4.282270640E+005   2.509044194E-020   2.538676788E-026   4.136062865E-025   6.374030616E+003   5.076875541E-004   3.736899537E-004   3.936354161E-024   5.000470797E-023   1.106816714E-021   2.304751204E-004   2.304751204E-004   1.500000000E+001   4.189011176E+001   6.951414792E+001   4.912916435E-007   2.031371908E-022   4.842173944E-023   3.260038782E-006   3.094501082E-153   3.094500882E-153   1.993817672E-160  -0.000000000E+000   2.581490247E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970060E-009   6.368015710E+003   5.076875541E-004   3.736899537E-004   2.304751204E-004 
  4.879317551E+008   1.581631705E-005   1.581631705E-005   1.066716876E+004   3.000000000E+000   9.374766196E+005   9.374766196E+005   4.767406081E+001   4.767406081E+001   4.767406081E+001   5.279118635E+004   4.293814758E+005   2.522520326E-020   2.552312082E-026   4.158277752E-025   6.408265676E+003   5.104143560E-004   3.756970509E-004   3.936354161E-024   5.000470799E-023   1.106816714E-021   2.394634944E-004   2.394634944E-004   1.500000000E+001   4.767406081E+001   6.951414792E+001   4.939303818E-007   2.042282452E-022   4.868182236E-023   3.260038782E-006   3.988070577E-137   3.988070303E-137   2.741214055E-144  -0.000000000E+000   2.723902284E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970060E-009   6.402218464E+003   5.104143560E-004   3.756970509E-004   2.394634944E-004 
