    V   J   Energy(K)   log(N/g)
    0    18   2.345990E+004   3.086461E+001 
    2    13   2.393080E+004   3.153583E+001 
    4     5   2.395581E+004   3.037470E+001 
    3    10   2.432262E+004   3.079473E+001 
    1    16   2.436840E+004   3.130876E+001 
    4     6   2.473404E+004   3.007855E+001 
    0    19   2.553963E+004   3.067044E+001 
    2    14   2.557053E+004   3.132842E+001 
    4     7   2.562381E+004   3.008148E+001 
    3    11   2.565988E+004   3.080480E+001 
    1    17   2.626369E+004   3.091153E+001 
    5     0   2.660677E+004   2.991548E+001 
    4     8   2.661704E+004   2.994808E+001 
    5     1   2.673596E+004   2.988326E+001 
    5     2   2.699289E+004   2.982928E+001 
    3    12   2.707418E+004   3.078195E+001 
    2    15   2.726625E+004   3.081369E+001 
    5     3   2.737523E+004   2.976201E+001 
    0    20   2.764451E+004   3.005298E+001 
    4     9   2.770677E+004   2.994095E+001 
    5     4   2.787879E+004   2.957453E+001 
    1    18   2.819486E+004   3.044603E+001 
    5     5   2.849899E+004   2.957276E+001 
    3    13   2.855661E+004   3.065889E+001 
    4    10   2.888376E+004   2.986815E+001 
    2    16   2.900940E+004   3.053958E+001 
    5     6   2.922954E+004   2.934173E+001 
    0    21   2.976661E+004   2.994561E+001 
    5     7   3.006431E+004   2.929931E+001 
    3    14   3.009785E+004   3.049258E+001 
    4    11   3.013990E+004   2.990268E+001 
    1    19   3.015462E+004   3.015177E+001 
    2    17   3.079235E+004   2.967917E+001 
    6     0   3.094320E+004   2.927182E+001 
    5     8   3.099552E+004   2.919681E+001 
    6     1   3.106412E+004   2.921631E+001 
    6     2   3.130464E+004   2.905166E+001 
    4    12   3.146651E+004   2.984021E+001 
    6     3   3.166233E+004   2.903700E+001 
    3    15   3.169026E+004   3.019312E+001 
    0    22   3.190031E+004   2.911055E+001 
    5     9   3.201575E+004   2.917536E+001 
    6     4   3.213322E+004   2.884728E+001 
    1    20   3.213454E+004   2.953128E+001 
    2    18   3.260639E+004   2.944330E+001 
    6     5   3.271272E+004   3.004315E+001 
    4    13   3.285516E+004   2.974799E+001 
    5    10   3.311646E+004   2.916164E+001 
    3    16   3.332489E+004   2.982723E+001 
    6     6   3.339496E+004   2.869366E+001 
    0    23   3.403759E+004   2.916434E+001 
    1    21   3.412953E+004   2.930678E+001 
    6     7   3.417363E+004   2.869067E+001 
    5    11   3.428978E+004   2.909732E+001 
    4    14   3.429681E+004   2.957940E+001 
    2    19   3.444505E+004   2.583562E+001 
    7     0   3.494622E+004   2.946093E+001 
    3    17   3.499413E+004   2.927452E+001 
    6     8   3.504117E+004   2.867536E+001 
    7     1   3.505878E+004   2.849588E+001 
    7     2   3.528236E+004   2.846721E+001 
    5    12   3.552731E+004   2.913269E+001 
    7     3   3.561473E+004   2.842807E+001 
    4    15   3.578419E+004   2.946534E+001 
    6     9   3.599047E+004   2.867871E+001 
    7     4   3.605189E+004   2.840719E+001 
    1    22   3.613139E+004   2.854961E+001 
    0    24   3.617459E+004   2.775245E+001 
    2    20   3.629979E+004   2.877502E+001 
    7     5   3.658964E+004   2.836685E+001 
    3    18   3.668984E+004   2.898142E+001 
    5    13   3.682003E+004   2.893897E+001 
    6    10   3.701302E+004   2.862853E+001 
    7     6   3.722192E+004   2.829368E+001 
    4    16   3.730808E+004   2.903407E+001 
    7     7   3.794263E+004   2.831466E+001 
    6    11   3.810113E+004   2.862741E+001 
    1    23   3.813447E+004   2.835167E+001 
    5    14   3.815979E+004   2.890417E+001 
    2    21   3.816475E+004   2.857100E+001 
    0    25   3.830484E+004   2.814741E+001 
    3    19   3.840503E+004   2.636280E+001 
    8     0   3.860553E+004   2.819457E+001 
    8     1   3.870915E+004   2.818385E+001 
    7     8   3.874438E+004   2.727052E+001 
    4    17   3.886111E+004   2.888400E+001 
    8     2   3.891514E+004   2.816404E+001 
    8     3   3.922109E+004   2.795840E+001 
